Water_Sample_ID_ID_de_l'échantillon_d'eau,SurveyID_ID_de_l'enquête,Site,Date,Season_Saison,Site_Description_Description_du_site,SmithRootID,Replicate_Répliquer,Volume_L,Depth_Profondeur_m,Latitude,Longitude,Filter_Pore_Size_Taille_des_pores_du_filtre,Notes
23ESICON2_SUM,499616,Conrod Beach,7/13/2023,Summer,Cobble/sand beach off Conrod Beach road,NoID,2,,1.5,44.699743,-63.179877,1.2,
23ESICON3_SUM,499617,Conrod Beach,7/13/2023,Summer,Cobble/sand beach off Conrod Beach road,NoID,3,,1.5,44.699743,-63.179877,1.2,
Blank,499618,Conrod Beach,7/13/2023,Summer,Cobble/sand beach off Conrod Beach road,NoID,Blank,1.5,NA,44.699743,-63.179877,1.2,
23ESIOWL1_SUM,499619,Little Harbour,7/14/2023,Summer,Sandy/rocky beach beside government wharf,NoID,1,3,,44.709065,-62.840988,1.2,
23ESIOWL2_SUM,499620,Little Harbour,7/14/2023,Summer,Sandy/rocky beach beside government wharf,NoID,2,3,,44.709065,-62.840988,1.2,
23ESIOWL3_SUM,499621,Little Harbour,7/14/2023,Summer,Sandy/rocky beach beside government wharf,NoID,3,2,,44.709065,-62.840988,1.2,Sample 3 was slightly deeper than 1 & 2
23ESIGOLD1_SUM,499623,Goldboro,7/17/2023,Summer,Rocky beach near Hurricane Island,NoID,1,3,,45.165722,-61.643597,1.2,
23ESIGOLD2_SUM,499624,Goldboro,7/17/2023,Summer,Rocky beach near Hurricane Island,NoID,2,3,,45.165722,-61.643597,1.2,
23ESIGOLD3_SUM,499625,Goldboro,7/17/2023,Summer,Rocky beach near Hurricane Island,NoID,3,2,,45.165722,-61.643597,1.2,Adaptor fell off
23ESIMH1_SUM,499627,Moosehead,7/18/2023,Summer,"Mud/sand beach in Moosehead, right off Hwy 7",NoID,1,,,44.942492,-62.265288,1.2,"3 loons fishing near eelgrass beds, look for their eDNA!"
23ESIMH2_SUM,499628,Moosehead,7/18/2023,Summer,"Mud/sand beach in Moosehead, right off Hwy 7",NoID,2,,,44.942492,-62.265288,1.2,"Beds are deep here, mostly got surface water"
23ESIMH3_SUM,499629,Moosehead,7/18/2023,Summer,"Mud/sand beach in Moosehead, right off Hwy 7",NoID,3,,,44.942492,-62.265288,1.2,
23ESITH1_FALL,499631,TaylorHead,9/26/2023,Fall,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",152,1,3,3,44.820348,-62.571743,1.2,All fall samples are post-Hurricane Lee so lots of torn up eelgrass 
23ESITH2_FALL,499632,TaylorHead,9/26/2023,Fall,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",153,2,,3,44.820417,-62.571982,1.2,
23ESITH3_FALL,499633,TaylorHead,9/26/2023,Fall,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",154,3,,3,44.820668,-62.572417,1.2,
23ESIMH1_FALL,499635,Moosehead,9/27/2023,Fall,"Mud/sand beach in Moosehead, right off Hwy 7",156,1,,,44.941312,-62.263522,1.2,
23ESIMH2_FALL,499636,Moosehead,9/27/2023,Fall,"Mud/sand beach in Moosehead, right off Hwy 7",157,2,,,44.940647,-62.26599,1.2,
23ESIMH3_FALL,499637,Moosehead,9/27/2023,Fall,"Mud/sand beach in Moosehead, right off Hwy 7",158,3,,,44.941658,-62.264848,1.2,
23ESIGOLD1_FALL,499639,Goldboro,9/29/2023,Fall,Rocky beach near Hurricane Island,167,1,,,45.165722,-61.643597,1.2,
23ESIGOLD2_FALL,499640,Goldboro,9/29/2023,Fall,Rocky beach near Hurricane Island,168,2,,,45.165722,-61.643597,1.2,
23ESIGOLD3_FALL,499641,Goldboro,9/29/2023,Fall,Rocky beach near Hurricane Island,169,3,,,45.165722,-61.643597,1.2,
23ESIOWL1_FALL,499643,Little Harbour,9/28/2023,Fall,Sandy/rocky beach beside government wharf,160,1,,0.6,44.709065,-62.840988,1.2,
23ESIOWL2_FALL,499644,Little Harbour,9/28/2023,Fall,Sandy/rocky beach beside government wharf,161,2,,0.6,44.709065,-62.840988,1.2,
23ESIOWL3_FALL,499645,Little Harbour,9/28/2023,Fall,Sandy/rocky beach beside government wharf,162,3,,1.3,44.709065,-62.840988,1.2,
23ESICON1_FALL,499647,Conrod Beach,9/28/2023,Fall,Cobble/sand beach off Conrod Beach road,163,1,,1,44.699743,-63.179877,1.2,
23ESICON2_FALL,499648,Conrod Beach,9/28/2023,Fall,Cobble/sand beach off Conrod Beach road,164,2,,1,44.699743,-63.179877,1.2,
23ESICON3_FALL,499649,Conrod Beach,9/28/2023,Fall,Cobble/sand beach off Conrod Beach road,165,3,,1,44.699743,-63.179877,1.2,
23ESIWOLFES1,499651,WolfesIsland,8/29/2023,Summer,Sandy beach at Big Sandy Cove,135,1,1.5,1,44.73232,-62.75753,1.2,Collected opportunistically at Wolfes Island while Harri was in the field
23ESIWOLFES2,499652,WolfesIsland,8/29/2023,Summer,Sandy beach at Big Sandy Cove,136-137,2,1.5,1,44.73232,-62.75753,1.2,Collected opportunistically at Wolfes Island while Harri was in the field
23ESIWOLFES3,499653,WolfesIsland,8/29/2023,Summer,Sandy beach at Big Sandy Cove,138-139,3,1.5,1,44.73232,-62.75753,1.2,Collected opportunistically at Wolfes Island while Harri was in the field
